listening on /dev/input/event3 (type/time/code/value)
/dev/input/event3 2972872.766064 type=3 code=57 value=20
/dev/input/event3 2972872.766064 type=3 code=53 value=283
/dev/input/event3 2972872.766064 type=3 code=54 value=1181
/dev/input/event3 2972872.766064 type=1 code=330 value=1
/dev/input/event3 2972872.766064 type=0 code=0 value=0
/dev/input/event3 2972872.804040 type=3 code=53 value=288
/dev/input/event3 2972872.804040 type=3 code=54 value=1188
/dev/input/event3 2972872.804040 type=0 code=0 value=0
/dev/input/event3 2972872.809126 type=3 code=53 value=292
/dev/input/event3 2972872.809126 type=3 code=54 value=1194
/dev/input/event3 2972872.809126 type=0 code=0 value=0
/dev/input/event3 2972872.814596 type=3 code=53 value=296
/dev/input/event3 2972872.814596 type=3 code=54 value=1199
/dev/input/event3 2972872.814596 type=0 code=0 value=0
/dev/input/event3 2972872.820166 type=3 code=53 value=301
/dev/input/event3 2972872.820166 type=3 code=54 value=1206
/dev/input/event3 2972872.820166 type=0 code=0 value=0
/dev/input/event3 2972872.825770 type=3 code=53 value=306
/dev/input/event3 2972872.825770 type=3 code=54 value=1213
/dev/input/event3 2972872.825770 type=0 code=0 value=0
/dev/input/event3 2972872.831017 type=3 code=53 value=311
/dev/input/event3 2972872.831017 type=3 code=54 value=1220
/dev/input/event3 2972872.831017 type=0 code=0 value=0
/dev/input/event3 2972872.836233 type=3 code=53 value=317
/dev/input/event3 2972872.836233 type=3 code=54 value=1228
/dev/input/event3 2972872.836233 type=0 code=0 value=0
/dev/input/event3 2972872.841863 type=3 code=53 value=321
/dev/input/event3 2972872.841863 type=3 code=54 value=1235
/dev/input/event3 2972872.841863 type=0 code=0 value=0
/dev/input/event3 2972872.847364 type=3 code=53 value=326
/dev/input/event3 2972872.847364 type=3 code=54 value=1242
/dev/input/event3 2972872.847364 type=0 code=0 value=0
/dev/input/event3 2972872.852589 type=3 code=53 value=330
/dev/input/event3 2972872.852589 type=3 code=54 value=1249
/dev/input/event3 2972872.852589 type=0 code=0 value=0
/dev/input/event3 2972872.858129 type=3 code=53 value=333
/dev/input/event3 2972872.858129 type=3 code=54 value=1255
/dev/input/event3 2972872.858129 type=0 code=0 value=0
/dev/input/event3 2972872.863404 type=3 code=53 value=336
/dev/input/event3 2972872.863404 type=3 code=54 value=1261
/dev/input/event3 2972872.863404 type=0 code=0 value=0
/dev/input/event3 2972872.868956 type=3 code=53 value=338
/dev/input/event3 2972872.868956 type=3 code=54 value=1267
/dev/input/event3 2972872.868956 type=0 code=0 value=0
/dev/input/event3 2972872.874074 type=3 code=53 value=339
/dev/input/event3 2972872.874074 type=3 code=54 value=1269
/dev/input/event3 2972872.874074 type=0 code=0 value=0
/dev/input/event3 2972872.879760 type=3 code=53 value=340
/dev/input/event3 2972872.879760 type=3 code=54 value=1272
/dev/input/event3 2972872.879760 type=0 code=0 value=0
/dev/input/event3 2972872.885163 type=3 code=53 value=342
/dev/input/event3 2972872.885163 type=3 code=54 value=1277
/dev/input/event3 2972872.885163 type=0 code=0 value=0
/dev/input/event3 2972872.890513 type=3 code=53 value=344
/dev/input/event3 2972872.890513 type=3 code=54 value=1283
/dev/input/event3 2972872.890513 type=0 code=0 value=0
/dev/input/event3 2972872.895757 type=3 code=53 value=347
/dev/input/event3 2972872.895757 type=3 code=54 value=1288
/dev/input/event3 2972872.895757 type=0 code=0 value=0
/dev/input/event3 2972872.901379 type=3 code=53 value=349
/dev/input/event3 2972872.901379 type=3 code=54 value=1294
/dev/input/event3 2972872.901379 type=0 code=0 value=0
/dev/input/event3 2972872.906665 type=3 code=53 value=351
/dev/input/event3 2972872.906665 type=3 code=54 value=1299
/dev/input/event3 2972872.906665 type=0 code=0 value=0
/dev/input/event3 2972872.911961 type=3 code=53 value=353
/dev/input/event3 2972872.911961 type=3 code=54 value=1305
/dev/input/event3 2972872.911961 type=0 code=0 value=0
/dev/input/event3 2972872.917378 type=3 code=53 value=356
/dev/input/event3 2972872.917378 type=3 code=54 value=1309
/dev/input/event3 2972872.917378 type=0 code=0 value=0
/dev/input/event3 2972872.922841 type=3 code=53 value=358
/dev/input/event3 2972872.922841 type=3 code=54 value=1314
/dev/input/event3 2972872.922841 type=0 code=0 value=0
/dev/input/event3 2972872.928357 type=3 code=53 value=360
/dev/input/event3 2972872.928357 type=3 code=54 value=1319
/dev/input/event3 2972872.928357 type=0 code=0 value=0
/dev/input/event3 2972872.933735 type=3 code=53 value=362
/dev/input/event3 2972872.933735 type=3 code=54 value=1325
/dev/input/event3 2972872.933735 type=0 code=0 value=0
/dev/input/event3 2972872.939181 type=3 code=53 value=364
/dev/input/event3 2972872.939181 type=3 code=54 value=1330
/dev/input/event3 2972872.939181 type=0 code=0 value=0
/dev/input/event3 2972872.944697 type=3 code=53 value=367
/dev/input/event3 2972872.944697 type=3 code=54 value=1336
/dev/input/event3 2972872.944697 type=0 code=0 value=0
/dev/input/event3 2972872.949751 type=3 code=53 value=369
/dev/input/event3 2972872.949751 type=3 code=54 value=1341
/dev/input/event3 2972872.949751 type=0 code=0 value=0
/dev/input/event3 2972872.955388 type=3 code=53 value=370
/dev/input/event3 2972872.955388 type=3 code=54 value=1346
/dev/input/event3 2972872.955388 type=0 code=0 value=0
/dev/input/event3 2972872.960818 type=3 code=53 value=372
/dev/input/event3 2972872.960818 type=3 code=54 value=1351
/dev/input/event3 2972872.960818 type=0 code=0 value=0
/dev/input/event3 2972872.966149 type=3 code=53 value=374
/dev/input/event3 2972872.966149 type=3 code=54 value=1355
/dev/input/event3 2972872.966149 type=0 code=0 value=0
