listening on /dev/input/event3 (type/time/code/value)
/dev/input/event3 2973582.247026 type=3 code=53 value=298
/dev/input/event3 2973582.247026 type=3 code=54 value=1479
/dev/input/event3 2973582.247026 type=0 code=0 value=0
/dev/input/event3 2973582.252367 type=3 code=53 value=289
/dev/input/event3 2973582.252367 type=3 code=54 value=1455
/dev/input/event3 2973582.252367 type=0 code=0 value=0
/dev/input/event3 2973582.257998 type=3 code=53 value=278
/dev/input/event3 2973582.257998 type=3 code=54 value=1425
/dev/input/event3 2973582.257998 type=0 code=0 value=0
/dev/input/event3 2973582.263273 type=3 code=53 value=269
/dev/input/event3 2973582.263273 type=3 code=54 value=1395
/dev/input/event3 2973582.263273 type=0 code=0 value=0
/dev/input/event3 2973582.268585 type=3 code=53 value=260
/dev/input/event3 2973582.268585 type=3 code=54 value=1366
/dev/input/event3 2973582.268585 type=0 code=0 value=0
/dev/input/event3 2973582.273886 type=3 code=53 value=250
/dev/input/event3 2973582.273886 type=3 code=54 value=1332
/dev/input/event3 2973582.273886 type=0 code=0 value=0
/dev/input/event3 2973582.278931 type=3 code=53 value=241
/dev/input/event3 2973582.278931 type=3 code=54 value=1299
/dev/input/event3 2973582.278931 type=0 code=0 value=0
/dev/input/event3 2973582.284395 type=3 code=53 value=232
/dev/input/event3 2973582.284395 type=3 code=54 value=1265
/dev/input/event3 2973582.284395 type=0 code=0 value=0
/dev/input/event3 2973582.290029 type=3 code=53 value=224
/dev/input/event3 2973582.290029 type=3 code=54 value=1231
/dev/input/event3 2973582.290029 type=0 code=0 value=0
/dev/input/event3 2973582.295198 type=3 code=53 value=216
/dev/input/event3 2973582.295198 type=3 code=54 value=1197
/dev/input/event3 2973582.295198 type=0 code=0 value=0
/dev/input/event3 2973582.300816 type=3 code=53 value=208
/dev/input/event3 2973582.300816 type=3 code=54 value=1163
/dev/input/event3 2973582.300816 type=0 code=0 value=0
/dev/input/event3 2973582.306290 type=3 code=53 value=201
/dev/input/event3 2973582.306290 type=3 code=54 value=1129
/dev/input/event3 2973582.306290 type=0 code=0 value=0
/dev/input/event3 2973582.311445 type=3 code=53 value=194
/dev/input/event3 2973582.311445 type=3 code=54 value=1096
/dev/input/event3 2973582.311445 type=0 code=0 value=0
/dev/input/event3 2973582.316772 type=3 code=53 value=188
/dev/input/event3 2973582.316772 type=3 code=54 value=1063
/dev/input/event3 2973582.316772 type=0 code=0 value=0
/dev/input/event3 2973582.322447 type=3 code=53 value=182
/dev/input/event3 2973582.322447 type=3 code=54 value=1030
/dev/input/event3 2973582.322447 type=0 code=0 value=0
/dev/input/event3 2973582.327895 type=3 code=53 value=175
/dev/input/event3 2973582.327895 type=3 code=54 value=999
/dev/input/event3 2973582.327895 type=0 code=0 value=0
/dev/input/event3 2973582.333313 type=3 code=53 value=168
/dev/input/event3 2973582.333313 type=3 code=54 value=968
/dev/input/event3 2973582.333313 type=0 code=0 value=0
/dev/input/event3 2973582.338365 type=3 code=53 value=162
/dev/input/event3 2973582.338365 type=3 code=54 value=939
/dev/input/event3 2973582.338365 type=0 code=0 value=0
/dev/input/event3 2973582.344034 type=3 code=53 value=157
/dev/input/event3 2973582.344034 type=3 code=54 value=912
/dev/input/event3 2973582.344034 type=0 code=0 value=0
/dev/input/event3 2973582.349194 type=3 code=53 value=152
/dev/input/event3 2973582.349194 type=3 code=54 value=887
/dev/input/event3 2973582.349194 type=0 code=0 value=0
/dev/input/event3 2973582.354830 type=3 code=53 value=146
/dev/input/event3 2973582.354830 type=3 code=54 value=864
/dev/input/event3 2973582.354830 type=0 code=0 value=0
/dev/input/event3 2973582.360277 type=3 code=53 value=141
/dev/input/event3 2973582.360277 type=3 code=54 value=843
/dev/input/event3 2973582.360277 type=0 code=0 value=0
/dev/input/event3 2973582.365404 type=3 code=53 value=137
/dev/input/event3 2973582.365404 type=3 code=54 value=825
/dev/input/event3 2973582.365404 type=0 code=0 value=0
/dev/input/event3 2973582.371070 type=3 code=53 value=135
/dev/input/event3 2973582.371070 type=3 code=54 value=810
/dev/input/event3 2973582.371070 type=0 code=0 value=0
/dev/input/event3 2973582.376493 type=3 code=53 value=132
/dev/input/event3 2973582.376493 type=3 code=54 value=798
/dev/input/event3 2973582.376493 type=0 code=0 value=0
/dev/input/event3 2973582.381611 type=3 code=53 value=131
/dev/input/event3 2973582.381611 type=3 code=54 value=788
/dev/input/event3 2973582.381611 type=0 code=0 value=0
/dev/input/event3 2973582.387206 type=3 code=53 value=129
/dev/input/event3 2973582.387206 type=3 code=54 value=782
/dev/input/event3 2973582.387206 type=0 code=0 value=0
/dev/input/event3 2973582.392328 type=3 code=54 value=778
/dev/input/event3 2973582.392328 type=0 code=0 value=0
/dev/input/event3 2973582.397633 type=3 code=54 value=776
/dev/input/event3 2973582.397633 type=0 code=0 value=0
/dev/input/event3 2973582.413902 type=3 code=53 value=130
/dev/input/event3 2973582.413902 type=3 code=54 value=778
/dev/input/event3 2973582.413902 type=0 code=0 value=0
/dev/input/event3 2973582.419557 type=3 code=53 value=135
/dev/input/event3 2973582.419557 type=3 code=54 value=787
/dev/input/event3 2973582.419557 type=0 code=0 value=0
/dev/input/event3 2973582.424708 type=3 code=53 value=144
/dev/input/event3 2973582.424708 type=3 code=54 value=803
/dev/input/event3 2973582.424708 type=0 code=0 value=0
/dev/input/event3 2973582.429890 type=3 code=53 value=155
/dev/input/event3 2973582.429890 type=3 code=54 value=822
/dev/input/event3 2973582.429890 type=0 code=0 value=0
/dev/input/event3 2973582.435387 type=3 code=53 value=166
/dev/input/event3 2973582.435387 type=3 code=54 value=846
/dev/input/event3 2973582.435387 type=0 code=0 value=0
/dev/input/event3 2973582.440715 type=3 code=53 value=179
/dev/input/event3 2973582.440715 type=3 code=54 value=873
/dev/input/event3 2973582.440715 type=0 code=0 value=0
/dev/input/event3 2973582.446140 type=3 code=53 value=196
/dev/input/event3 2973582.446140 type=3 code=54 value=911
/dev/input/event3 2973582.446140 type=0 code=0 value=0
/dev/input/event3 2973582.451800 type=3 code=53 value=210
/dev/input/event3 2973582.451800 type=3 code=54 value=948
/dev/input/event3 2973582.451800 type=0 code=0 value=0
/dev/input/event3 2973582.457317 type=3 code=53 value=224
/dev/input/event3 2973582.457317 type=3 code=54 value=985
/dev/input/event3 2973582.457317 type=0 code=0 value=0
/dev/input/event3 2973582.462697 type=3 code=53 value=239
/dev/input/event3 2973582.462697 type=3 code=54 value=1027
/dev/input/event3 2973582.462697 type=0 code=0 value=0
/dev/input/event3 2973582.468092 type=3 code=53 value=254
/dev/input/event3 2973582.468092 type=3 code=54 value=1070
/dev/input/event3 2973582.468092 type=0 code=0 value=0
/dev/input/event3 2973582.473484 type=3 code=53 value=269
/dev/input/event3 2973582.473484 type=3 code=54 value=1120
/dev/input/event3 2973582.473484 type=0 code=0 value=0
/dev/input/event3 2973582.478923 type=3 code=53 value=283
/dev/input/event3 2973582.478923 type=3 code=54 value=1168
/dev/input/event3 2973582.478923 type=0 code=0 value=0
/dev/input/event3 2973582.484032 type=3 code=53 value=296
/dev/input/event3 2973582.484032 type=3 code=54 value=1215
/dev/input/event3 2973582.484032 type=0 code=0 value=0
/dev/input/event3 2973582.489294 type=3 code=53 value=306
/dev/input/event3 2973582.489294 type=3 code=54 value=1261
/dev/input/event3 2973582.489294 type=0 code=0 value=0
/dev/input/event3 2973582.494818 type=3 code=53 value=318
/dev/input/event3 2973582.494818 type=3 code=54 value=1312
/dev/input/event3 2973582.494818 type=0 code=0 value=0
/dev/input/event3 2973582.500438 type=3 code=53 value=328
/dev/input/event3 2973582.500438 type=3 code=54 value=1359
/dev/input/event3 2973582.500438 type=0 code=0 value=0
/dev/input/event3 2973582.505872 type=3 code=53 value=338
/dev/input/event3 2973582.505872 type=3 code=54 value=1405
/dev/input/event3 2973582.505872 type=0 code=0 value=0
/dev/input/event3 2973582.511285 type=3 code=53 value=346
/dev/input/event3 2973582.511285 type=3 code=54 value=1449
/dev/input/event3 2973582.511285 type=0 code=0 value=0
/dev/input/event3 2973582.516237 type=3 code=53 value=353
/dev/input/event3 2973582.516237 type=3 code=54 value=1490
/dev/input/event3 2973582.516237 type=0 code=0 value=0
/dev/input/event3 2973582.521809 type=3 code=53 value=358
/dev/input/event3 2973582.521809 type=3 code=54 value=1531
/dev/input/event3 2973582.521809 type=0 code=0 value=0
/dev/input/event3 2973582.526960 type=3 code=53 value=363
/dev/input/event3 2973582.526960 type=3 code=54 value=1564
/dev/input/event3 2973582.526960 type=0 code=0 value=0
/dev/input/event3 2973582.532499 type=3 code=53 value=367
/dev/input/event3 2973582.532499 type=3 code=54 value=1592
/dev/input/event3 2973582.532499 type=0 code=0 value=0
/dev/input/event3 2973582.538000 type=3 code=53 value=370
/dev/input/event3 2973582.538000 type=3 code=54 value=1615
/dev/input/event3 2973582.538000 type=0 code=0 value=0
/dev/input/event3 2973582.543623 type=3 code=53 value=372
/dev/input/event3 2973582.543623 type=3 code=54 value=1633
/dev/input/event3 2973582.543623 type=0 code=0 value=0
/dev/input/event3 2973582.549011 type=3 code=53 value=373
/dev/input/event3 2973582.549011 type=3 code=54 value=1647
/dev/input/event3 2973582.549011 type=0 code=0 value=0
/dev/input/event3 2973582.554154 type=3 code=54 value=1657
/dev/input/event3 2973582.554154 type=0 code=0 value=0
/dev/input/event3 2973582.559561 type=3 code=54 value=1664
/dev/input/event3 2973582.559561 type=0 code=0 value=0
/dev/input/event3 2973582.565087 type=3 code=53 value=372
/dev/input/event3 2973582.565087 type=3 code=54 value=1668
/dev/input/event3 2973582.565087 type=0 code=0 value=0
/dev/input/event3 2973582.570430 type=3 code=54 value=1669
/dev/input/event3 2973582.570430 type=0 code=0 value=0
/dev/input/event3 2973582.591889 type=3 code=54 value=1668
/dev/input/event3 2973582.591889 type=0 code=0 value=0
/dev/input/event3 2973582.597283 type=3 code=53 value=369
/dev/input/event3 2973582.597283 type=3 code=54 value=1662
/dev/input/event3 2973582.597283 type=0 code=0 value=0
/dev/input/event3 2973582.602898 type=3 code=53 value=364
/dev/input/event3 2973582.602898 type=3 code=54 value=1650
/dev/input/event3 2973582.602898 type=0 code=0 value=0
/dev/input/event3 2973582.608380 type=3 code=53 value=357
/dev/input/event3 2973582.608380 type=3 code=54 value=1626
/dev/input/event3 2973582.608380 type=0 code=0 value=0
/dev/input/event3 2973582.613485 type=3 code=53 value=349
/dev/input/event3 2973582.613485 type=3 code=54 value=1600
/dev/input/event3 2973582.613485 type=0 code=0 value=0
/dev/input/event3 2973582.618891 type=3 code=53 value=341
/dev/input/event3 2973582.618891 type=3 code=54 value=1571
/dev/input/event3 2973582.618891 type=0 code=0 value=0
/dev/input/event3 2973582.624191 type=3 code=53 value=332
/dev/input/event3 2973582.624191 type=3 code=54 value=1538
/dev/input/event3 2973582.624191 type=0 code=0 value=0
/dev/input/event3 2973582.629737 type=3 code=53 value=322
/dev/input/event3 2973582.629737 type=3 code=54 value=1502
/dev/input/event3 2973582.629737 type=0 code=0 value=0
/dev/input/event3 2973582.635122 type=3 code=53 value=312
/dev/input/event3 2973582.635122 type=3 code=54 value=1466
/dev/input/event3 2973582.635122 type=0 code=0 value=0
/dev/input/event3 2973582.640691 type=3 code=53 value=300
/dev/input/event3 2973582.640691 type=3 code=54 value=1429
/dev/input/event3 2973582.640691 type=0 code=0 value=0
/dev/input/event3 2973582.646081 type=3 code=53 value=290
/dev/input/event3 2973582.646081 type=3 code=54 value=1394
/dev/input/event3 2973582.646081 type=0 code=0 value=0
/dev/input/event3 2973582.651515 type=3 code=53 value=280
/dev/input/event3 2973582.651515 type=3 code=54 value=1359
/dev/input/event3 2973582.651515 type=0 code=0 value=0
/dev/input/event3 2973582.656896 type=3 code=53 value=270
/dev/input/event3 2973582.656896 type=3 code=54 value=1324
/dev/input/event3 2973582.656896 type=0 code=0 value=0
/dev/input/event3 2973582.661933 type=3 code=53 value=260
/dev/input/event3 2973582.661933 type=3 code=54 value=1288
/dev/input/event3 2973582.661933 type=0 code=0 value=0
/dev/input/event3 2973582.667264 type=3 code=53 value=251
/dev/input/event3 2973582.667264 type=3 code=54 value=1253
/dev/input/event3 2973582.667264 type=0 code=0 value=0
/dev/input/event3 2973582.672884 type=3 code=53 value=239
/dev/input/event3 2973582.672884 type=3 code=54 value=1219
/dev/input/event3 2973582.672884 type=0 code=0 value=0
/dev/input/event3 2973582.677972 type=3 code=53 value=229
/dev/input/event3 2973582.677972 type=3 code=54 value=1187
/dev/input/event3 2973582.677972 type=0 code=0 value=0
/dev/input/event3 2973582.683759 type=3 code=53 value=220
/dev/input/event3 2973582.683759 type=3 code=54 value=1154
/dev/input/event3 2973582.683759 type=0 code=0 value=0
/dev/input/event3 2973582.688953 type=3 code=53 value=210
/dev/input/event3 2973582.688953 type=3 code=54 value=1123
/dev/input/event3 2973582.688953 type=0 code=0 value=0
/dev/input/event3 2973582.694575 type=3 code=53 value=201
/dev/input/event3 2973582.694575 type=3 code=54 value=1095
/dev/input/event3 2973582.694575 type=0 code=0 value=0
/dev/input/event3 2973582.699887 type=3 code=53 value=193
/dev/input/event3 2973582.699887 type=3 code=54 value=1067
/dev/input/event3 2973582.699887 type=0 code=0 value=0
/dev/input/event3 2973582.705405 type=3 code=53 value=185
/dev/input/event3 2973582.705405 type=3 code=54 value=1041
/dev/input/event3 2973582.705405 type=0 code=0 value=0
/dev/input/event3 2973582.710538 type=3 code=53 value=177
/dev/input/event3 2973582.710538 type=3 code=54 value=1016
/dev/input/event3 2973582.710538 type=0 code=0 value=0
/dev/input/event3 2973582.716101 type=3 code=53 value=168
/dev/input/event3 2973582.716101 type=3 code=54 value=994
/dev/input/event3 2973582.716101 type=0 code=0 value=0
/dev/input/event3 2973582.721538 type=3 code=53 value=162
/dev/input/event3 2973582.721538 type=3 code=54 value=974
/dev/input/event3 2973582.721538 type=0 code=0 value=0
/dev/input/event3 2973582.726608 type=3 code=53 value=156
/dev/input/event3 2973582.726608 type=3 code=54 value=956
/dev/input/event3 2973582.726608 type=0 code=0 value=0
/dev/input/event3 2973582.732276 type=3 code=53 value=151
/dev/input/event3 2973582.732276 type=3 code=54 value=940
/dev/input/event3 2973582.732276 type=0 code=0 value=0
