PID   USER     COMMAND
    1 root     {init} /bin/busybox sh /init
    2 root     [kthreadd]
    3 root     [rcu_gp]
    4 root     [rcu_par_gp]
    5 root     [kworker/0:0-eve]
    6 root     [kworker/0:0H-kb]
    7 root     [kworker/0:1-eve]
    8 root     [kworker/u16:0+M]
    9 root     [mm_percpu_wq]
   10 root     [ksoftirqd/0]
   11 root     [rcu_preempt]
   12 root     [rcu_sched]
   13 root     [rcu_bh]
   14 root     [rcuop/0]
   15 root     [rcuos/0]
   16 root     [rcuob/0]
   17 root     [migration/0]
   18 root     [cpuhp/0]
   19 root     [cpuhp/1]
   20 root     [migration/1]
   21 root     [ksoftirqd/1]
   22 root     [kworker/1:0-mm_]
   23 root     [kworker/1:0H-ev]
   24 root     [rcuop/1]
   25 root     [rcuos/1]
   26 root     [rcuob/1]
   27 root     [cpuhp/2]
   28 root     [migration/2]
   29 root     [ksoftirqd/2]
   30 root     [kworker/2:0-eve]
   31 root     [kworker/2:0H-kb]
   32 root     [rcuop/2]
   33 root     [rcuos/2]
   34 root     [rcuob/2]
   35 root     [cpuhp/3]
   36 root     [migration/3]
   37 root     [ksoftirqd/3]
   38 root     [kworker/3:0-eve]
   39 root     [kworker/3:0H-kb]
   40 root     [rcuop/3]
   41 root     [rcuos/3]
   42 root     [rcuob/3]
   43 root     [cpuhp/4]
   44 root     [migration/4]
   45 root     [ksoftirqd/4]
   46 root     [kworker/4:0-eve]
   47 root     [kworker/4:0H-ev]
   48 root     [rcuop/4]
   49 root     [rcuos/4]
   50 root     [rcuob/4]
   51 root     [cpuhp/5]
   52 root     [migration/5]
   53 root     [ksoftirqd/5]
   54 root     [kworker/5:0+eve]
   55 root     [kworker/5:0H-ev]
   56 root     [rcuop/5]
   57 root     [rcuos/5]
   58 root     [rcuob/5]
   59 root     [cpuhp/6]
   60 root     [migration/6]
   61 root     [ksoftirqd/6]
   62 root     [kworker/6:0-eve]
   63 root     [kworker/6:0H-ev]
   64 root     [rcuop/6]
   65 root     [rcuos/6]
   66 root     [rcuob/6]
   67 root     [cpuhp/7]
   68 root     [migration/7]
   69 root     [ksoftirqd/7]
   70 root     [kworker/7:0-mm_]
   71 root     [kworker/7:0H-ev]
   72 root     [rcuop/7]
   73 root     [rcuos/7]
   74 root     [rcuob/7]
   75 root     [kdevtmpfs]
   76 root     [netns]
   77 root     [rcu_tasks_kthre]
   78 root     [kauditd]
   79 root     [kworker/5:1+eve]
   80 root     [kworker/u16:1+L]
   81 root     [kworker/4:1-eve]
   82 root     [kworker/6:1+eve]
   83 root     [kworker/1:1+eve]
   84 root     [kworker/7:1-mm_]
   85 root     [kworker/2:1-eve]
   86 root     [kworker/u17:0-u]
   87 root     [kworker/3:1-eve]
   88 root     [ipa_usb_wq]
   89 root     [msm_watchdog]
   90 root     [qmp_aop]
   91 root     [oom_reaper]
   92 root     [writeback]
   93 root     [kcompactd0]
   94 root     [crypto]
   95 root     [kblockd]
   96 root     [blk_crypto_wq]
   97 root     [irq/156-arm-smm]
   98 root     [irq/157-arm-smm]
   99 root     [irq/166-arm-smm]
  100 root     [irq/167-arm-smm]
  101 root     [irq/41-tsens-up]
  102 root     [irq/42-tsens-cr]
  103 root     [irq/43-tsens-up]
  104 root     [irq/44-tsens-cr]
  105 root     [edac-poller]
  106 root     [irq/8-dcvsh-irq]
  107 root     [irq/9-dcvsh-irq]
  108 root     [irq/10-dcvsh-ir]
  109 root     [ion-pool-uncach]
  110 root     [ion-pool-cached]
  111 root     [system]
  112 root     [ion-pool-uncach]
  113 root     [ion-pool-cached]
  114 root     [camera]
  115 root     [ipa_power_mgmt]
  116 root     [transport_power]
  117 root     [ipa_pm_activate]
